Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),SPACE1-1:Zone People Occupant Count [](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Mean Radiant Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Clothing Value [clo](TimeStep),SPACE1-1 IN NODE:System Node Temperature [C](TimeStep),SPACE1-1 IN NODE:System Node Mass Flow Rate [kg/s](TimeStep),VAV SYS 1 OUTLET NODE:System Node Temperature [C](TimeStep),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/15  10:15:00,14.85,100,2.275,302.5,77,0,11,23.10268797,66.3084616,21,29,212.1434079,-0.624576912,13.18560306,22.97397062,0.54638655,18.00428098,0.198236976,18.00413586,0.95281337
 01/15  10:30:00,14.7,100,3.05,305,78,0,11,23.28107725,65.87025952,22,30,225.8906676,-0.554493334,11.4372775,23.19403737,0.54638655,18.00679291,0.196847973,18.0066284,0.984531135
 01/15  10:45:00,14.55,100,3.825,307.5,82.25,0,11,23.43150186,65.3835647,23,30,231.8613952,-0.496586052,10.15335456,23.38760735,0.54638655,18.00299515,0.195700714,18.00282725,0.998009425
 01/15  11:00:00,14.4,100,4.6,310,86.5,0,11,23.55836771,64.87016297,22,29,241.254339,-0.448158717,9.190861651,23.55350735,0.54638655,18.00470524,0.195368817,18.00437186,1.018871518
 01/15  11:15:00,14.4,99,4.35,317.5,90.75,0,8.8,23.67036332,64.18289947,23,30,218.3190442,-0.41343233,8.562795498,23.65538433,0.54638655,17.9896933,0.172577788,17.98925833,0.967183667
 01/15  11:30:00,14.4,98,4.1,325,95,0,8.8,23.77893326,63.39973563,23,30,232.2611075,-0.380208365,8.010270472,23.77489337,0.54638655,18.00711981,0.170920937,18.00666008,0.998905589
 01/15  11:45:00,14.4,97,3.85,332.5,96.5,0,8.8,23.97270434,62.26781016,24,30,375.0396876,-0.350183493,7.551481712,23.88136117,0.54638655,18.73421687,0.168909022,18.00661956,1.030405379
 01/15  12:00:00,14.4,96,3.6,340,98,0,8.8,24.04512408,61.58742164,24,30,258.6791881,-0.304654606,6.928893897,24.00247118,0.54638655,18.0060165,0.167142969,18.00550486,1.056541128
 01/15  12:15:00,14.25,97,3.6,340,99.5,0,4.4,24.03129729,60.9646303,24,30,186.5929172,-0.303842549,6.918586701,23.95505999,0.54638655,17.97887554,0.130277855,17.9785502,0.837399984
 01/15  12:30:00,14.1,98,3.6,340,101,0,4.4,24.00466262,60.34695355,23,29,186.5929172,-0.309999619,6.997432716,23.96114531,0.54638655,18.00000882,0.132505533,17.99969825,0.838625851
 01/15  12:45:00,13.95,99,3.6,340,99.5,0,4.4,23.98610185,59.80723372,23,29,186.5929172,-0.320125286,7.130589539,23.95585774,0.54638655,18.00057376,0.134024846,18.00025069,0.837741297
 01/15  13:00:00,13.8,100,3.6,340,98,0,4.4,23.96993039,59.38537672,23,29,186.5929172,-0.327277136,7.227257363,23.94833462,0.54638655,18.0005442,0.135398246,18.00021021,0.837019898
 01/15  13:15:00,13.8,100,3.725,342.5,96.5,0,8.8,23.98750902,59.31512384,22,28,260.0299008,-0.319010017,7.115710431,24.04825756,0.54638655,18.02250866,0.174158936,18.02200024,1.059408315
 01/15  13:30:00,13.8,100,3.85,345,95,0,8.8,24.02542119,59.34278634,21,27,265.1988243,-0.310878423,7.008817304,24.08585767,0.54638655,18.00281063,0.17246255,18.00229334,1.070313583
 01/15  13:45:00,13.8,100,3.975,347.5,90.5,0,8.8,24.05747163,59.36340272,20,28,267.3054353,-0.300229283,6.873062727,24.10979589,0.54638655,18.00144533,0.171642946,18.00092706,1.074728129
 01/15  14:00:00,13.8,100,4.1,350,86,0,8.8,24.07709115,59.37399051,20,28,267.9876735,-0.291735235,6.768218713,24.12659109,0.54638655,18.00081445,0.171054109,18.00029645,1.076154145
