Date/Time,HW SUPPLY OUTLET NODE:System Node Temperature [C](TimeStep),HW DEMAND INLET NODE:System Node Temperature [C](TimeStep),HW DEMAND INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/01  20:30:00,30.1133075057264,50.8387625604695,0.0 
 01/01  20:45:00,55.,50.8427310230208,5.128734364508536E-03 
 01/01  21:00:00,55.,50.8544599144573,1.005794275463108E-02 
 01/01  21:15:00,55.,50.8720600244464,1.281010253469539E-02 
 01/01  21:30:00,55.,50.8925102692607,1.388255086502898E-02 
 01/01  21:45:00,55.,50.9139146384927,1.419753230760942E-02 
 01/01  22:00:00,55.,50.935780237103,1.464003818650928E-02 
 01/01  22:15:00,55.,50.9583853492473,1.533664720358189E-02 
 01/01  22:30:00,55.,50.9819910151636,1.614647587523015E-02 
 01/01  22:45:00,55.,51.0065764466998,1.684050207076815E-02 
 01/01  23:00:00,55.,51.0319163623512,1.737182849188736E-02 
 01/01  23:15:00,55.,51.0578265890785,1.783708310758974E-02 
 01/01  23:30:00,55.,51.0842095824707,1.825279689152046E-02 
 01/01  23:45:00,55.,51.1120752179973,2.013196581035934E-02 
 01/01  24:00:00,55.,51.1460420624245,2.703832878477347E-02 
 01/02  00:15:00,40.,51.0981902939516,3.248103045586950E-02 
 01/02  00:30:00,40.,50.9584575789349,3.562269587811551E-02 
 01/02  00:45:00,40.,50.809622513661,3.787715042112610E-02 
 01/02  01:00:00,40.,50.652449782779,4.084872452933574E-02 
 01/02  01:15:00,40.,50.484241816522,4.470419002317048E-02 
 01/02  01:30:00,40.,50.3078619651728,4.648620990412325E-02 
 01/02  01:45:00,40.,50.1307257499979,4.667477156512805E-02 
 01/02  02:00:00,40.,49.9548028522409,4.747627865710233E-02 
 01/02  02:15:00,40.,49.7766510571068,4.958264034070592E-02 
 01/02  02:30:00,40.,49.5923924718604,5.268508764761905E-02 
 01/02  02:45:00,40.,49.4015084710609,5.535130015747718E-02 
 01/02  03:00:00,40.,49.2069835471603,5.702288895118494E-02 
 01/02  03:15:00,40.,49.0115032343684,5.831952007730196E-02 
 01/02  03:30:00,40.,48.8166156807771,5.918965147406677E-02 
 01/02  03:45:00,40.,48.6231621499042,6.005236439968226E-02 
 01/02  04:00:00,40.,48.4308219468157,6.118655896380212E-02 
 01/02  04:15:00,40.,48.2391023279555,6.244609915794155E-02 
 01/02  04:30:00,40.,48.0486370493522,6.325813374536510E-02 
 01/02  04:45:00,40.,47.8607159822638,6.371547808244964E-02 
 01/02  05:00:00,40.,47.6759265119108,6.413736029165090E-02 
 01/02  05:15:00,40.,47.4942688942875,6.458482053142614E-02 
 01/02  05:30:00,40.,47.3147688675098,6.571334761000361E-02 
 01/02  05:45:00,40.,47.1364137493322,6.696046207442195E-02 
 01/02  06:00:00,40.,46.95984060246,6.769304711306587E-02 
 01/02  06:15:00,40.,46.7869012545659,6.753881850889600E-02 
 01/02  06:30:00,40.,46.6247287603592,6.242188574584699E-02 
 01/02  06:45:00,40.,46.4755203960607,6.000138013913978E-02 
 01/02  07:00:00,40.,46.3305913280692,6.165733395450206E-02 
 01/02  07:15:00,40.,45.5667896065863,0.625137629051406 
 01/02  07:30:00,40.,44.4757211434296,0.548893424317447 
 01/02  07:45:00,40.,43.6869182378185,0.494808730946392 
 01/02  08:00:00,40.,43.1137574868358,0.417800293131545 
 01/02  08:15:00,60.,43.6810588868327,0.222621989033456 
 01/02  08:30:00,60.,44.6960332776422,0.154795431463904 
 01/02  08:45:00,60.,45.4727105579175,0.127494099947051 
 01/02  09:00:00,60.,46.0504145092204,9.128469358786934E-02 
 01/02  09:15:00,60.,46.464577100815,7.077799534736959E-02 
 01/02  09:30:00,60.,46.7897962351767,5.988789777413353E-02 
 01/02  09:45:00,60.,47.0644393338153,5.300191573803405E-02 
 01/02  10:00:00,60.,47.3004132115568,4.592380527134764E-02 
 01/02  10:15:00,60.,47.498523437344,3.855775848065410E-02 
 01/02  10:30:00,60.,47.6620780285618,3.220529410624230E-02 
