1,1.1mp.cws.pittsburgh.whole,,,,,,,,,,,,,,,
,train,,,v1,,,v2,,,v3,,,v4,,,occp
Date/Time,training,[1] System Node Mass Flow Rate (kg/s),,testing1,,,testing2,,,testing3,,,testing4,,,
2002/6/1 7:40,-419910.6919,77.3421103,0.50851854,-214394.7052,95.57025084,0.628367189,-357238.5415,95.57025084,0.628367189,-213481.7447,95.57025084,0.628367189,-355558.1514,95.57025084,0.628367189,0
2002/6/1 7:50,-414625.3639,77.3421103,0.50851854,-216941.4106,95.57025084,0.628367189,-331311.1346,95.57025084,0.628367189,-216024.8895,95.57025084,0.628367189,-329636.5429,95.57025084,0.628367189,0
2002/6/1 8:00,-423936.9615,77.3421103,0.50851854,-295208.4855,77.3415691,0.508514982,-391598.6038,95.57025084,0.628367189,-218351.1751,95.57025084,0.628367189,-303887.9846,95.57025084,0.628367189,0.02
2002/6/1 8:10,-459196.9825,77.3421103,0.50851854,-296792.0625,45.39359124,0.298459438,-353964.1443,95.57025084,0.628367189,-221218.7053,95.57025084,0.628367189,-304348.9987,95.57025084,0.628367189,0.1
2002/6/1 8:20,-621252.8871,77.3421103,0.50851854,-562241.5749,95.57025084,0.628367189,-334362.5778,95.57025084,0.628367189,-224733.0976,95.57025084,0.628367189,-312868.6086,95.57025084,0.628367189,0.12
2002/6/1 8:30,-700727.7632,77.3421103,0.50851854,-332389.2747,69.39597645,0.456273309,-342868.717,95.57025084,0.628367189,-228568.8508,95.57025084,0.628367189,-325630.1711,95.57025084,0.628367189,0.08
2002/6/1 8:40,-771982.3973,77.3421103,0.50851854,-313539.7732,95.57025084,0.628367189,-355510.7721,95.57025084,0.628367189,-232170.0111,95.57025084,0.628367189,-340797.5369,95.57025084,0.628367189,0.18
2002/6/1 8:50,-799415.0471,77.3421103,0.50851854,-251847.9792,95.57025084,0.628367189,-365640.0456,95.57025084,0.628367189,-235869.4832,95.57025084,0.628367189,-355742.2548,95.57025084,0.628367189,0.26
2002/6/1 9:00,-749831.9738,77.3421103,0.50851854,-391560.4796,95.57025084,0.628367189,-406110.1121,95.57025084,0.628367189,-240649.3533,95.57025084,0.628367189,-374399.0261,95.57025084,0.628367189,0.36
2002/6/1 9:10,-823122.1082,77.3421103,0.50851854,-363531.0723,95.57025084,0.628367189,-399255.8723,95.57025084,0.628367189,-248510.0298,95.57025084,0.628367189,-398063.5649,95.57025084,0.628367189,0.42
2002/6/1 9:20,-881113.5307,77.3421103,0.50851854,-260090.1274,95.57025084,0.628367189,-415762.3217,95.57025084,0.628367189,-267346.9449,95.57025084,0.628367189,-432736.4498,95.57025084,0.628367189,0.52
2002/6/1 9:30,-900397.7849,77.3421103,0.50851854,-264437.9624,95.57025084,0.628367189,-444100.5179,95.57025084,0.628367189,-304045.4751,95.57025084,0.628367189,-484989.2828,95.57025084,0.628367189,0.58
2002/6/1 9:40,-815323.0057,77.3421103,0.50851854,-269739.0802,95.57025084,0.628367189,-475003.3696,95.57025084,0.628367189,-299243.646,95.57025084,0.628367189,-518487.7199,95.57025084,0.628367189,0.56
2002/6/1 9:50,-801963.476,77.3421103,0.50851854,-274905.7462,95.57025084,0.628367189,-491793.7982,95.57025084,0.628367189,-286428.6376,95.57025084,0.628367189,-570032.0873,95.57025084,0.628367189,0.64
2002/6/1 10:00,-916013.0709,77.3421103,0.50851854,-291959.2053,95.57025084,0.628367189,-524718.3452,95.57025084,0.628367189,-301500.6788,95.57025084,0.628367189,-662247.7716,95.57025084,0.628367189,0.6
2002/6/1 10:10,-924506.387,77.3421103,0.50851854,-281786.1062,95.57025084,0.628367189,-530687.4703,95.57025084,0.628367189,-327104.9422,95.57025084,0.628367189,-614069.0965,95.57025084,0.628367189,0.46
2002/6/1 10:20,-895326.7176,77.3421103,0.50851854,-285904.7726,95.57025084,0.628367189,-531761.481,95.57025084,0.628367189,-307666.0625,95.57025084,0.628367189,-604520.715,95.57025084,0.628367189,0.48
2002/6/1 10:30,-911981.6962,77.3421103,0.50851854,-284570.4902,95.57025084,0.628367189,-560733.3843,95.57025084,0.628367189,-306536.5576,95.57025084,0.628367189,-644920.9314,95.57025084,0.628367189,0.44
2002/6/1 10:40,-888838.996,77.3421103,0.50851854,-283920.8571,95.57025084,0.628367189,-579318.1327,95.57025084,0.628367189,-305946.9585,95.57025084,0.628367189,-704058.1481,95.57025084,0.628367189,0.46
2002/6/1 10:50,-892039.3662,77.3421103,0.50851854,-283856.1036,95.57025084,0.628367189,-604036.7072,95.57025084,0.628367189,-294927.6679,95.57025084,0.628367189,-696225.2687,95.57025084,0.628367189,0.5
2002/6/1 11:00,-940758.619,77.3421103,0.50851854,-315350.0599,95.57025084,0.628367189,-631616.2547,95.57025084,0.628367189,-322137.3914,95.57025084,0.628367189,-727984.2047,95.57025084,0.628367189,0.68
