1,1.csl.vavDx.light.pittsburgh,
2,3.csl.vavDx.heavy.pittsburgh,
,1ST%FLOOR:1ST%RESEARCH%OPEN%NW,1ST%FLOOR:1ST%RESEARCH%OPEN%NW
Date/Time,[1] Zone Air Temperature (C),[2] Zone Air Temperature (C)
2002/6/3 12:00,22.64367469,22.95093946
2002/6/3 12:10,22.68790952,22.96625342
2002/6/3 12:20,22.89114806,23.24146404
2002/6/3 12:30,23.18114411,23.36029336
2002/6/3 12:40,23.37261591,23.56142188
2002/6/3 12:50,23.36944871,23.46064764
2002/6/3 13:00,23.26862551,23.32528339
2002/6/3 13:10,23.25536389,23.23639367
2002/6/3 13:20,23.18553087,23.15132471
2002/6/3 13:30,23.0852837,23.11071464
2002/6/3 13:40,22.97324553,22.96353659
2002/6/3 13:50,22.89784553,22.9618538
2002/6/3 14:00,22.8724913,22.98027437
2002/6/3 14:10,22.9120283,23.0628176
2002/6/3 14:20,22.87379125,23.06039466
2002/6/3 14:30,22.78773326,23.03306039
2002/6/3 14:40,22.72885138,23.02159416
2002/6/3 14:50,22.72873624,23.04979242
2002/6/3 15:00,22.77563193,23.11427938
2002/6/3 15:10,22.79540713,23.06977444
2002/6/3 15:20,22.84625857,23.01799314
2002/6/3 15:30,22.88448889,23.02655873
2002/6/3 15:40,22.91112718,23.07655286
2002/6/3 15:50,22.99382692,23.0569396
2002/6/3 16:00,23.05271291,23.12682932
2002/6/3 16:10,22.97352638,23.08427176
2002/6/3 16:20,22.92470593,23.04103182
2002/6/3 16:30,22.9691207,23.11638942
2002/6/3 16:40,23.09301557,23.30450931
2002/6/3 16:50,23.1668544,23.42613119
2002/6/3 17:00,23.15610458,23.44543703
2002/6/3 17:10,23.11132189,23.40897522
2002/6/3 17:20,23.03204806,23.33591104
2002/6/3 17:30,22.93918514,23.25243447
2002/6/3 17:40,22.82337036,23.14832363
2002/6/3 17:50,22.80084742,23.13077224
2002/6/3 18:00,22.64887642,22.99203575
2002/6/3 18:10,22.49592498,22.85160997
2002/6/3 18:20,22.42225786,22.78927278
2002/6/3 18:30,22.39602824,22.77261406
2002/6/3 18:40,22.38996974,22.7758451
2002/6/3 18:50,22.50891688,22.89857324
2002/6/3 19:00,22.63753919,23.00748196
2002/6/3 19:10,22.61912059,23.01158371
2002/6/3 19:20,22.63551274,23.04457946
2002/6/3 19:30,22.79152477,23.15301651
2002/6/3 19:40,22.74972039,23.12323884
2002/6/3 19:50,22.5608741,22.96228995
2002/6/3 20:00,22.41665225,22.80678936
2002/6/3 20:10,22.2891346,22.69918177
2002/6/3 20:20,22.24912641,22.68070202
2002/6/3 20:30,22.21517923,22.65360382
2002/6/3 20:40,22.16643487,22.63213292
2002/6/3 20:50,22.18280167,22.64940631
2002/6/3 21:00,22.19715321,22.65631144
2002/6/3 21:10,22.1386402,22.61500188
2002/6/3 21:20,22.05308626,22.55067619
2002/6/3 21:30,21.98871738,22.49706887
2002/6/3 21:40,21.96716901,22.47962318
2002/6/3 21:50,21.94714663,22.46373093
2002/6/3 22:00,21.95102206,22.47246089
2002/6/3 22:10,21.92369507,22.45117697
2002/6/3 22:20,21.90115519,22.43535653
2002/6/3 22:30,21.95596236,22.49645121
2002/6/3 22:40,21.92913866,22.47438867
2002/6/3 22:50,21.9241248,22.47184354
2002/6/3 23:00,21.9157946,22.46617148
2002/6/3 23:10,21.84111462,22.39654782
2002/6/3 23:20,21.80369769,22.36595858
2002/6/3 23:30,21.72122862,22.29040614
2002/6/3 23:40,21.69828402,22.27251225
2002/6/3 23:50,21.61822425,22.19804286
2002/6/4 0:00,21.55824445,22.14362538
2002/6/4 0:10,21.50040776,22.09261277
2002/6/4 0:20,21.43421522,22.03186558
2002/6/4 0:30,21.34198369,21.94898464
2002/6/4 0:40,21.25935299,21.87717623
2002/6/4 0:50,21.20326518,21.83078805
2002/6/4 1:00,21.15416126,21.79010352
2002/6/4 1:10,21.13166065,21.77500589
2002/6/4 1:20,21.10579989,21.75677287
2002/6/4 1:30,21.06974777,21.72936452
2002/6/4 1:40,21.03474252,21.70362158
2002/6/4 1:50,21.00686874,21.68546217
2002/6/4 2:00,20.98745102,21.67516472
2002/6/4 2:10,20.98110756,21.67517423
2002/6/4 2:20,20.98595339,21.68384008
2002/6/4 2:30,20.956528,21.65844802
2002/6/4 2:40,20.88029628,21.58811925
2002/6/4 2:50,20.79598296,21.5103362
2002/6/4 3:00,20.76078327,21.47992565
2002/6/4 3:10,20.73828581,21.46204162
2002/6/4 3:20,20.7256059,21.45408028
2002/6/4 3:30,20.68675178,21.42187773
2002/6/4 3:40,20.71583958,21.45842815
2002/6/4 3:50,20.71758383,21.46624478
2002/6/4 4:00,20.71733673,21.46901849
2002/6/4 4:10,20.67133913,21.42866322
2002/6/4 4:20,20.62431198,21.39039966
2002/6/4 4:30,20.61035859,21.38526252
2002/6/4 4:40,20.62858264,21.41072803
2002/6/4 4:50,20.63956325,21.42751011
2002/6/4 5:00,20.69278434,21.48649456
2002/6/4 5:10,20.76143926,21.55723084
2002/6/4 5:20,20.78777409,21.58485147
2002/6/4 5:30,20.75222208,21.55369471
2002/6/4 5:40,20.70779031,21.51546138
2002/6/4 5:50,20.80484622,21.59154854
2002/6/4 6:00,20.8605515,21.59689795
2002/6/4 6:10,20.8609892,21.63605203
2002/6/4 6:20,20.88795188,21.68948079
2002/6/4 6:30,20.85414243,21.66757137
2002/6/4 6:40,20.81157219,21.63047932
2002/6/4 6:50,20.79070282,21.60078404
2002/6/4 7:00,20.7693272,21.58336875
2002/6/4 7:10,20.75618965,21.57861774
2002/6/4 7:20,20.77733336,21.60595615
2002/6/4 7:30,20.81594575,21.65419524
2002/6/4 7:40,20.84038617,21.66743454
2002/6/4 7:50,20.9168329,21.74563891
2002/6/4 8:00,21.02253746,21.79073229
2002/6/4 8:10,21.02130717,21.81370301
2002/6/4 8:20,20.97543098,21.78500608
2002/6/4 8:30,21.02246745,21.84296306
2002/6/4 8:40,21.0624781,21.88771682
2002/6/4 8:50,21.05305048,21.87650383
2002/6/4 9:00,21.06049971,21.88609998
2002/6/4 9:10,21.13566305,21.95316203
2002/6/4 9:20,21.2281473,22.03915993
2002/6/4 9:30,21.48234323,22.28023125
2002/6/4 9:40,21.6204913,22.39632932
2002/6/4 9:50,21.62708354,22.41560764
2002/6/4 10:00,21.6293594,22.39973456
2002/6/4 10:10,21.68870171,22.44390041
2002/6/4 10:20,21.76335968,22.49535741
2002/6/4 10:30,21.84443102,22.55805337
2002/6/4 10:40,21.99405949,22.69030842
2002/6/4 10:50,22.10712187,22.78436786
2002/6/4 11:00,22.19729864,22.87318427
2002/6/4 11:10,22.22650731,22.90094558
2002/6/4 11:20,22.25301323,22.97268843
2002/6/4 11:30,22.32608682,23.05830409
2002/6/4 11:40,22.43035463,23.15160357
2002/6/4 11:50,22.46213351,23.17054792
2002/6/4 12:00,22.46717068,23.16586235
2002/6/4 12:10,22.47896667,23.16979754
2002/6/4 12:20,22.50442836,23.20336963
2002/6/4 12:30,22.56335047,23.26343696
2002/6/4 12:40,22.62713431,23.31423597
2002/6/4 12:50,22.67921479,23.35246751
2002/6/4 13:00,22.6885802,23.35236477
2002/6/4 13:10,22.66844782,23.29193764
2002/6/4 13:20,22.6961257,23.26492275
2002/6/4 13:30,22.70378634,23.15085555
2002/6/4 13:40,22.70792377,23.03205899
2002/6/4 13:50,22.75426445,23.09924427
2002/6/4 14:00,22.79741362,23.09931911
2002/6/4 14:10,22.77981621,23.10977555
2002/6/4 14:20,22.76760651,23.17780289
2002/6/4 14:30,22.7798311,23.25560348
2002/6/4 14:40,22.81143215,23.32174292
2002/6/4 14:50,22.85857719,23.37089384
2002/6/4 15:00,22.95360221,23.48589036
2002/6/4 15:10,23.00523209,23.45155021
2002/6/4 15:20,23.08938024,23.35986416
2002/6/4 15:30,23.2104854,23.46555353
2002/6/4 15:40,23.21081325,23.43757891
2002/6/4 15:50,23.17555719,23.43156205
2002/6/4 16:00,23.20092727,23.3768145
2002/6/4 16:10,23.20226765,23.33306626
2002/6/4 16:20,23.2428681,23.44548032
2002/6/4 16:30,23.24365597,23.56449352
2002/6/4 16:40,23.18200525,23.5599524
2002/6/4 16:50,23.1224191,23.50898118
2002/6/4 17:00,23.07724456,23.4759298
2002/6/4 17:10,23.04188268,23.40881946
2002/6/4 17:20,22.95213751,23.332851
2002/6/4 17:30,22.87593358,23.30963765
2002/6/4 17:40,22.82930747,23.25361119
2002/6/4 17:50,22.87838041,23.26940252
2002/6/4 18:00,23.03070987,23.42665726
2002/6/4 18:10,22.94630738,23.44392189
2002/6/4 18:20,22.91862744,23.3849948
2002/6/4 18:30,22.86598625,23.30592167
2002/6/4 18:40,22.80227462,23.23203296
2002/6/4 18:50,22.72006209,23.15484472
2002/6/4 19:00,22.64204267,23.07751498
2002/6/4 19:10,22.60733303,23.03340533
2002/6/4 19:20,22.54626433,22.95637599
2002/6/4 19:30,22.46736209,22.92047648
