1,13.csl.vavDx.light.pittsburgh.heat,
2,15.csl.vavDx.heavy.pittsburgh.heat,
,,
Date/Time,[1] Zone Air Temperature (C),[2] Zone Air Temperature (C)
2002/1/3 22:50,17.78542679,18.06619718
2002/1/3 23:00,17.78563393,18.06671237
2002/1/3 23:10,18.56940459,18.567961
2002/1/3 23:20,18.58254155,18.57443335
2002/1/3 23:30,18.57364259,18.57507678
2002/1/3 23:40,18.58000034,18.57016552
2002/1/3 23:50,18.5816322,18.5730895
2002/1/4 0:00,18.58244883,18.57420999
2002/1/4 0:10,17.57793266,17.68031969
2002/1/4 0:20,17.41165913,17.56738813
2002/1/4 0:30,17.40197672,17.57034865
2002/1/4 0:40,17.40653773,17.57124021
2002/1/4 0:50,17.40794632,17.5713488
2002/1/4 1:00,17.40797748,17.57142257
2002/1/4 1:10,17.65478537,17.56165925
2002/1/4 1:20,17.65736786,17.56195761
2002/1/4 1:30,17.64851102,17.56230262
2002/1/4 1:40,17.65507342,17.55801838
2002/1/4 1:50,17.65649085,17.56062252
2002/1/4 2:00,17.65692275,17.56113794
2002/1/4 2:10,17.74401955,18.05957369
2002/1/4 2:20,17.7375281,18.06628773
2002/1/4 2:30,17.7430994,18.06703194
2002/1/4 2:40,17.74470173,18.06166669
2002/1/4 2:50,17.74492943,18.06714728
2002/1/4 3:00,17.74487436,18.06158799
2002/1/4 3:10,17.4617611,17.28186099
2002/1/4 3:20,17.4601667,17.21407703
2002/1/4 3:30,17.45328603,17.2133998
2002/1/4 3:40,17.45736763,17.20840701
2002/1/4 3:50,17.45812648,17.21133994
2002/1/4 4:00,17.45847061,17.21194029
2002/1/4 4:10,17.82949517,19.46691756
2002/1/4 4:20,17.8375162,19.47786103
2002/1/4 4:30,17.82722807,19.4682916
2002/1/4 4:40,17.83338235,19.47369387
2002/1/4 4:50,17.83567734,19.47616841
2002/1/4 5:00,17.83637114,19.47689455
2002/1/4 5:10,18.33239524,19.25586971
2002/1/4 5:20,18.32702944,19.23915282
2002/1/4 5:30,18.33722408,19.24407233
2002/1/4 5:40,18.33949371,19.24541186
2002/1/4 5:50,18.34070216,19.24619751
2002/1/4 6:00,18.34069753,19.24623202
2002/1/4 6:10,17.02922939,18.22585151
2002/1/4 6:20,16.86943118,18.19960451
2002/1/4 6:30,16.85741923,18.18993839
2002/1/4 6:40,16.86354458,18.1958688
2002/1/4 6:50,16.86500355,18.19721059
2002/1/4 7:00,16.86532961,18.19765593
2002/1/4 7:10,21.45215451,22.53992634
2002/1/4 7:20,22.00420314,23.1195439
2002/1/4 7:30,22.03475703,23.15898673
2002/1/4 7:40,22.0414166,23.16474175
2002/1/4 7:50,22.04844235,23.17121776
2002/1/4 8:00,22.04742957,23.1705798
2002/1/4 8:10,21.72365923,22.99329767
2002/1/4 8:20,21.71972047,22.98905874
2002/1/4 8:30,21.71970805,22.98872714
2002/1/4 8:40,21.71994664,22.98896166
2002/1/4 8:50,21.7199669,22.98936399
2002/1/4 9:00,21.72032438,22.98943387
2002/1/4 9:10,22.11619394,21.93503181
2002/1/4 9:20,22.12895609,21.85334043
2002/1/4 9:30,22.12973659,21.8512238
2002/1/4 9:40,22.12978498,21.85110637
2002/1/4 9:50,22.12912327,21.85167321
2002/1/4 10:00,22.12957426,21.85189098
2002/1/4 10:10,22.43384527,22.2858536
2002/1/4 10:20,22.4421404,22.29588396
2002/1/4 10:30,22.44222023,22.29620876
2002/1/4 10:40,22.44269265,22.29608312
2002/1/4 10:50,22.44286478,22.29616041
2002/1/4 11:00,22.44230746,22.29623129
2002/1/4 11:10,22.40116234,22.19703401
2002/1/4 11:20,22.40080275,22.19594831
2002/1/4 11:30,22.40074263,22.19615405
2002/1/4 11:40,22.4005972,22.19611122
2002/1/4 11:50,22.40083477,22.18890763
2002/1/4 12:00,22.40089162,22.19318171
2002/1/4 12:10,22.39096056,22.38663406
2002/1/4 12:20,22.39163616,22.39167513
2002/1/4 12:30,22.39133107,22.39245692
2002/1/4 12:40,22.39120692,22.39255019
2002/1/4 12:50,22.3916807,22.38949319
2002/1/4 13:00,22.39176654,22.3872463
2002/1/4 13:10,22.24301393,23.22441237
2002/1/4 13:20,22.24315113,23.27747314
2002/1/4 13:30,22.23714382,23.27501178
2002/1/4 13:40,22.24106897,23.27843348
2002/1/4 13:50,22.24361475,23.27978149
2002/1/4 14:00,22.23746479,23.28031225
2002/1/4 14:10,22.20401601,22.45794086
2002/1/4 14:20,22.20434888,22.42281435
2002/1/4 14:30,22.20473149,22.4213886
2002/1/4 14:40,22.20496172,22.42136838
2002/1/4 14:50,22.20507237,22.42138771
2002/1/4 15:00,22.20514433,22.42142135
2002/1/4 15:10,22.55737692,21.2355079
2002/1/4 15:20,22.56375138,20.99642967
2002/1/4 15:30,22.56399447,20.98833848
2002/1/4 15:40,22.5639888,20.98810181
2002/1/4 15:50,22.5639797,20.98810138
2002/1/4 16:00,22.56399249,20.98745721
2002/1/4 16:10,21.95763203,22.454155
2002/1/4 16:20,21.91522958,22.51351115
